,CP_CLIENTE,total
0,4009,453406.0
1,4007,452897.0
2,4006,347220.0
3,4008,322773.0
4,4005,313975.0
5,4720,279623.0
6,4004,265921.0
7,4120,249170.0
8,4230,245803.0
9,4003,193859.0
10,4002,179848.0
11,4001,141780.0
12,4740,131552.0
13,4131,123427.0
14,4700,93439.0
15,4130,89159.0
16,4240,61539.0
17,4110,60887.0
18,4738,54332.0
19,4770,52357.0
20,4140,51302.0
21,4117,47933.0
22,4410,43852.0
23,4250,41173.0
24,4200,37523.0
25,4721,32772.0
26,4560,32542.0
27,4150,31492.0
28,4100,29076.0
29,4270,26048.0
30,4710,24289.0
31,4711,21672.0
32,4400,20744.0
33,4279,19878.0
34,4820,18495.0
35,4760,18436.0
36,4610,18369.0
37,4867,18271.0
38,4620,17177.0
39,4151,16086.0
40,4118,14778.0
41,4500,14604.0
42,4860,14416.0
43,4520,13475.0
44,4750,13309.0
45,4745,13274.0
46,4800,12261.0
47,4280,12067.0
48,4713,12027.0
49,4550,11517.0
50,4271,11398.0
51,4600,11310.0
52,4638,11253.0
53,4470,11051.0
54,4630,9941.0
55,4458,9659.0
56,4510,9354.0
57,4459,8938.0
58,4716,8866.0
59,4857,8791.0
60,4712,8582.0
61,4409,8339.0
62,4260,7911.0
63,4728,7692.0
64,4116,6995.0
65,4531,6779.0
66,4779,6492.0
67,4540,6478.0
68,4450,6222.0
69,4640,6178.0
70,4460,6055.0
71,4880,5763.0
72,4639,5400.0
73,4850,5387.0
74,4727,4952.0
75,4717,4803.0
76,4149,4747.0
77,4431,4593.0
78,4420,4445.0
79,4715,4241.0
80,4729,4159.0
81,4619,3426.0
82,4617,3384.0
83,4870,3221.0
84,4628,3046.0
85,4660,3024.0
86,4288,2900.0
87,4815,2747.0
88,4569,2665.0
89,4567,2542.0
90,4115,2379.0
91,4810,2345.0
92,4276,2298.0
93,4113,2194.0
94,4830,2184.0
95,4430,2098.0
96,4440,1915.0
97,4160,1874.0
98,4838,1857.0
99,4479,1789.0
100,4890,1630.0
101,4650,1627.0
102,4275,1612.0
103,4661,1576.0
104,4825,1475.0
105,4568,1474.0
106,4480,1444.0
107,4869,1421.0
108,4210,1360.0
109,4878,1056.0
110,4859,997.0
111,4212,987.0
112,4877,975.0
113,4211,780.0
114,4692,703.0
115,4532,595.0
116,4621,581.0
117,4213,578.0
118,4888,515.0
119,4114,291.0
120,4879,285.0
121,4887,269.0
122,4889,250.0
123,4743,180.0
124,4616,175.0
125,4259,170.0
126,4530,169.0
127,4647,140.0
128,4868,110.0
129,4648,90.0
130,4813,85.0
131,4618,85.0
132,4897,45.0
133,4746,40.0
134,4629,
135,4741,
136,4278,
137,4558,
138,4811,
