,CP_CLIENTE,total
0,4007,1569113.0
1,4009,1499793.0
2,4006,1180029.0
3,4005,1018807.0
4,4008,978272.0
5,4004,912926.0
6,4120,813878.0
7,4720,786113.0
8,4230,754154.0
9,4003,638887.0
10,4002,590073.0
11,4001,504988.0
12,4131,423001.0
13,4740,397573.0
14,4700,357304.0
15,4130,321628.0
16,4240,270312.0
17,4110,243320.0
18,4117,212995.0
19,4738,207800.0
20,4770,173184.0
21,4410,167609.0
22,4140,161269.0
23,4100,147899.0
24,4250,139428.0
25,4560,137044.0
26,4400,116074.0
27,4200,104610.0
28,4721,104394.0
29,4150,102593.0
30,4711,98350.0
31,4710,92108.0
32,4151,85813.0
33,4760,77590.0
34,4745,71315.0
35,4620,68534.0
36,4270,66466.0
37,4867,60883.0
38,4800,57852.0
39,4610,53704.0
40,4118,53590.0
41,4520,51232.0
42,4630,51179.0
43,4600,47932.0
44,4860,46631.0
45,4260,46446.0
46,4279,46423.0
47,4750,44190.0
48,4409,42276.0
49,4500,37753.0
50,4280,37035.0
51,4820,35743.0
52,4470,34381.0
53,4113,33724.0
54,4450,33558.0
55,4715,33438.0
56,4116,32701.0
57,4510,31603.0
58,4713,31372.0
59,4458,31176.0
60,4271,30866.0
61,4712,30534.0
62,4716,30197.0
63,4638,28148.0
64,4550,27015.0
65,4779,23895.0
66,4880,23532.0
67,4639,21757.0
68,4727,21600.0
69,4531,21243.0
70,4569,20505.0
71,4431,20194.0
72,4660,18733.0
73,4460,18703.0
74,4728,18590.0
75,4850,18314.0
76,4459,16623.0
77,4640,16571.0
78,4628,16311.0
79,4717,15935.0
80,4149,15255.0
81,4617,14761.0
82,4870,14624.0
83,4890,14546.0
84,4160,14413.0
85,4540,14364.0
86,4857,13593.0
87,4567,10610.0
88,4810,10087.0
89,4869,9727.0
90,4420,9390.0
91,4838,9327.0
92,4430,8957.0
93,4479,8927.0
94,4210,8296.0
95,4115,6881.0
96,4825,6688.0
97,4729,6577.0
98,4661,6568.0
99,4859,6531.0
100,4878,6389.0
101,4288,6155.0
102,4568,6148.0
103,4830,6144.0
104,4276,6069.0
105,4114,5535.0
106,4440,5475.0
107,4480,5456.0
108,4888,4858.0
109,4275,4601.0
110,4532,4586.0
111,4650,4488.0
112,4815,4275.0
113,4619,4199.0
114,4887,3718.0
115,4213,3574.0
116,4692,2839.0
117,4212,2677.0
118,4877,2642.0
119,4530,2019.0
120,4616,2005.0
121,4746,1822.0
122,4868,1768.0
123,4741,1560.0
124,4621,1424.0
125,4889,1189.0
126,4211,1162.0
127,4629,1144.0
128,4879,1119.0
129,4259,1102.0
130,4549,940.0
131,4812,848.0
132,4811,687.0
133,4648,679.0
134,4813,587.0
135,4898,473.0
136,4743,401.0
137,4778,376.0
138,4839,240.0
139,4897,174.0
140,4647,172.0
141,4618,143.0
142,4662,120.0
143,4693,46.0
144,4278,
145,4691,
146,4558,
147,4769,
