,SECTOR,FECHA,media,Rad,Precip
0,SALUD,2015-01-01,14.5,11.2,0.0
1,RESTAURACION,2015-01-01,53.56,11.2,0.0
2,OTROS,2015-01-01,14.0,11.2,0.0
3,OCIO Y TIEMPO LIBRE,2015-01-01,12.0,11.2,0.0
4,MODA Y COMPLEMENTOS,2015-01-01,147.14285714285714,11.2,0.0
5,HOGAR,2015-01-01,,11.2,0.0
6,AUTO,2015-01-01,955.0,11.2,0.0
7,TECNOLOGIA,2015-01-02,127.68354430379746,11.3,0.0
8,SALUD,2015-01-02,107.39583333333333,11.3,0.0
9,RESTAURACION,2015-01-02,54.638297872340424,11.3,0.0
10,OTROS,2015-01-02,97.8780487804878,11.3,0.0
11,OCIO Y TIEMPO LIBRE,2015-01-02,109.25,11.3,0.0
12,MODA Y COMPLEMENTOS,2015-01-02,101.65174129353234,11.3,0.0
13,HOGAR,2015-01-02,110.64102564102564,11.3,0.0
14,BELLEZA,2015-01-02,55.6125,11.3,0.0
15,AUTO,2015-01-02,160.45238095238096,11.3,0.0
16,ALIMENTACION,2015-01-02,109.7,11.3,0.0
17,TECNOLOGIA,2015-01-03,161.08333333333334,11.5,0.0
18,SALUD,2015-01-03,119.80882352941177,11.5,0.0
19,RESTAURACION,2015-01-03,56.10958904109589,11.5,0.0
20,OTROS,2015-01-03,68.03448275862068,11.5,0.0
21,OCIO Y TIEMPO LIBRE,2015-01-03,91.84905660377359,11.5,0.0
22,MODA Y COMPLEMENTOS,2015-01-03,110.45641025641025,11.5,0.0
23,HOGAR,2015-01-03,82.88888888888889,11.5,0.0
24,BELLEZA,2015-01-03,61.6,11.5,0.0
25,AUTO,2015-01-03,115.57142857142857,11.5,0.0
26,ALIMENTACION,2015-01-03,72.3529411764706,11.5,0.0
27,TECNOLOGIA,2015-01-04,237.1764705882353,11.6,0.0
28,SALUD,2015-01-04,98.0625,11.6,0.0
29,RESTAURACION,2015-01-04,60.08955223880597,11.6,0.0
30,OTROS,2015-01-04,57.53846153846154,11.6,0.0
31,OCIO Y TIEMPO LIBRE,2015-01-04,57.84848484848485,11.6,0.0
32,MODA Y COMPLEMENTOS,2015-01-04,79.25974025974025,11.6,0.0
33,HOGAR,2015-01-04,97.04545454545455,11.6,0.0
34,BELLEZA,2015-01-04,101.33333333333333,11.6,0.0
35,AUTO,2015-01-04,198.63636363636363,11.6,0.0
36,ALIMENTACION,2015-01-04,178.8,11.6,0.0
37,TECNOLOGIA,2015-01-05,171.73076923076923,11.3,0.0
38,SALUD,2015-01-05,122.64444444444445,11.3,0.0
39,RESTAURACION,2015-01-05,52.4078947368421,11.3,0.0
40,OTROS,2015-01-05,94.82142857142857,11.3,0.0
41,OCIO Y TIEMPO LIBRE,2015-01-05,46.61194029850746,11.3,0.0
42,MODA Y COMPLEMENTOS,2015-01-05,98.28901734104046,11.3,0.0
43,HOGAR,2015-01-05,172.325,11.3,0.0
44,BELLEZA,2015-01-05,80.05882352941177,11.3,0.0
45,AUTO,2015-01-05,194.4,11.3,0.0
46,ALIMENTACION,2015-01-05,104.95,11.3,0.0
47,SALUD,2015-01-06,9.0,10.8,0.0
48,RESTAURACION,2015-01-06,54.795918367346935,10.8,0.0
49,OTROS,2015-01-06,141.66666666666666,10.8,0.0
50,OCIO Y TIEMPO LIBRE,2015-01-06,,10.8,0.0
51,MODA Y COMPLEMENTOS,2015-01-06,46.0,10.8,0.0
52,HOGAR,2015-01-06,,10.8,0.0
53,AUTO,2015-01-06,1210.0,10.8,0.0
54,ALIMENTACION,2015-01-06,30.0,10.8,0.0
55,TECNOLOGIA,2015-01-07,149.66666666666666,10.7,0.0
56,SALUD,2015-01-07,123.91489361702128,10.7,0.0
57,RESTAURACION,2015-01-07,37.36,10.7,0.0
58,OTROS,2015-01-07,53.8235294117647,10.7,0.0
59,OCIO Y TIEMPO LIBRE,2015-01-07,64.88461538461539,10.7,0.0
60,MODA Y COMPLEMENTOS,2015-01-07,85.53465346534654,10.7,0.0
61,HOGAR,2015-01-07,98.4,10.7,0.0
62,BELLEZA,2015-01-07,90.76744186046511,10.7,0.0
63,AUTO,2015-01-07,128.66666666666666,10.7,0.0
64,ALIMENTACION,2015-01-07,180.23529411764707,10.7,0.0
65,TECNOLOGIA,2015-01-08,159.52173913043478,11.1,0.0
66,SALUD,2015-01-08,145.5090909090909,11.1,0.0
67,RESTAURACION,2015-01-08,52.55555555555556,11.1,0.0
68,OTROS,2015-01-08,84.47368421052632,11.1,0.0
69,OCIO Y TIEMPO LIBRE,2015-01-08,48.96,11.1,0.0
70,MODA Y COMPLEMENTOS,2015-01-08,85.98947368421052,11.1,0.0
71,HOGAR,2015-01-08,83.47826086956522,11.1,0.0
72,BELLEZA,2015-01-08,65.73809523809524,11.1,0.0
73,AUTO,2015-01-08,124.26315789473684,11.1,0.0
74,ALIMENTACION,2015-01-08,137.25,11.1,0.0
75,TECNOLOGIA,2015-01-09,158.97916666666666,11.7,0.0
76,SALUD,2015-01-09,135.42105263157896,11.7,0.0
77,RESTAURACION,2015-01-09,105.6590909090909,11.7,0.0
78,OTROS,2015-01-09,56.04545454545455,11.7,0.0
79,OCIO Y TIEMPO LIBRE,2015-01-09,62.333333333333336,11.7,0.0
80,MODA Y COMPLEMENTOS,2015-01-09,101.71428571428571,11.7,0.0
81,HOGAR,2015-01-09,86.70731707317073,11.7,0.0
82,BELLEZA,2015-01-09,67.8082191780822,11.7,0.0
83,AUTO,2015-01-09,203.42857142857142,11.7,0.0
84,ALIMENTACION,2015-01-09,87.14285714285714,11.7,0.0
85,TECNOLOGIA,2015-01-10,154.83333333333334,12.0,0.0
86,SALUD,2015-01-10,112.71428571428571,12.0,0.0
87,RESTAURACION,2015-01-10,66.4927536231884,12.0,0.0
88,OTROS,2015-01-10,48.76190476190476,12.0,0.0
89,OCIO Y TIEMPO LIBRE,2015-01-10,47.32727272727273,12.0,0.0
90,MODA Y COMPLEMENTOS,2015-01-10,92.91666666666667,12.0,0.0
91,HOGAR,2015-01-10,84.63333333333334,12.0,0.0
92,BELLEZA,2015-01-10,55.270833333333336,12.0,0.0
93,AUTO,2015-01-10,87.125,12.0,0.0
94,ALIMENTACION,2015-01-10,195.11111111111111,12.0,0.0
95,SALUD,2015-01-11,39.666666666666664,10.0,0.0
96,RESTAURACION,2015-01-11,50.92537313432836,10.0,0.0
97,OTROS,2015-01-11,29.25,10.0,0.0
98,OCIO Y TIEMPO LIBRE,2015-01-11,190.0,10.0,0.0
99,MODA Y COMPLEMENTOS,2015-01-11,41.0,10.0,0.0
100,HOGAR,2015-01-11,11.75,10.0,0.0
101,BELLEZA,2015-01-11,160.0,10.0,0.0
102,ALIMENTACION,2015-01-11,,10.0,0.0
103,TECNOLOGIA,2015-01-12,157.62222222222223,6.1,0.0
104,SALUD,2015-01-12,136.61764705882354,6.1,0.0
105,RESTAURACION,2015-01-12,40.904761904761905,6.1,0.0
106,OTROS,2015-01-12,70.91304347826087,6.1,0.0
107,OCIO Y TIEMPO LIBRE,2015-01-12,96.55932203389831,6.1,0.0
108,MODA Y COMPLEMENTOS,2015-01-12,82.87234042553192,6.1,0.0
109,HOGAR,2015-01-12,112.2,6.1,0.0
110,BELLEZA,2015-01-12,64.17391304347827,6.1,0.0
111,AUTO,2015-01-12,167.0,6.1,0.0
112,ALIMENTACION,2015-01-12,100.1,6.1,0.0
113,TECNOLOGIA,2015-01-13,128.2340425531915,7.0,0.0
114,SALUD,2015-01-13,164.19424460431654,7.0,0.0
115,RESTAURACION,2015-01-13,109.82608695652173,7.0,0.0
116,OTROS,2015-01-13,67.20689655172414,7.0,0.0
117,OCIO Y TIEMPO LIBRE,2015-01-13,55.71052631578947,7.0,0.0
118,MODA Y COMPLEMENTOS,2015-01-13,77.44444444444444,7.0,0.0
119,HOGAR,2015-01-13,89.25925925925925,7.0,0.0
120,BELLEZA,2015-01-13,57.57746478873239,7.0,0.0
121,AUTO,2015-01-13,156.85,7.0,0.0
122,ALIMENTACION,2015-01-13,64.46153846153847,7.0,0.0
123,TECNOLOGIA,2015-01-14,202.3695652173913,9.1,0.0
124,SALUD,2015-01-14,102.96946564885496,9.1,0.0
125,RESTAURACION,2015-01-14,39.3,9.1,0.0
126,OTROS,2015-01-14,48.07692307692308,9.1,0.0
127,OCIO Y TIEMPO LIBRE,2015-01-14,51.93617021276596,9.1,0.0
128,MODA Y COMPLEMENTOS,2015-01-14,86.27350427350427,9.1,0.0
129,HOGAR,2015-01-14,87.34210526315789,9.1,0.0
130,BELLEZA,2015-01-14,54.217948717948715,9.1,0.0
131,AUTO,2015-01-14,69.125,9.1,0.0
132,ALIMENTACION,2015-01-14,63.888888888888886,9.1,0.0
133,TECNOLOGIA,2015-01-15,123.1923076923077,10.6,0.0
134,SALUD,2015-01-15,161.71328671328672,10.6,0.0
135,RESTAURACION,2015-01-15,54.523809523809526,10.6,0.0
136,OTROS,2015-01-15,70.69565217391305,10.6,0.0
137,OCIO Y TIEMPO LIBRE,2015-01-15,59.125,10.6,0.0
138,MODA Y COMPLEMENTOS,2015-01-15,64.44339622641509,10.6,0.0
139,HOGAR,2015-01-15,200.92307692307693,10.6,0.0
140,BELLEZA,2015-01-15,77.22058823529412,10.6,0.0
141,AUTO,2015-01-15,178.0909090909091,10.6,0.0
142,ALIMENTACION,2015-01-15,48.0,10.6,0.0
143,TECNOLOGIA,2015-01-16,154.1851851851852,7.4,1.4
144,SALUD,2015-01-16,125.85470085470085,7.4,1.4
145,RESTAURACION,2015-01-16,39.660377358490564,7.4,1.4
146,OTROS,2015-01-16,94.86666666666666,7.4,1.4
147,OCIO Y TIEMPO LIBRE,2015-01-16,50.795918367346935,7.4,1.4
148,MODA Y COMPLEMENTOS,2015-01-16,82.56122448979592,7.4,1.4
149,HOGAR,2015-01-16,65.47058823529412,7.4,1.4
150,BELLEZA,2015-01-16,52.29113924050633,7.4,1.4
151,AUTO,2015-01-16,136.1153846153846,7.4,1.4
152,ALIMENTACION,2015-01-16,78.3157894736842,7.4,1.4
153,TECNOLOGIA,2015-01-17,152.21052631578948,12.9,0.0
154,SALUD,2015-01-17,77.025,12.9,0.0
155,RESTAURACION,2015-01-17,98.96153846153847,12.9,0.0
156,OTROS,2015-01-17,75.27777777777777,12.9,0.0
157,OCIO Y TIEMPO LIBRE,2015-01-17,45.0,12.9,0.0
158,MODA Y COMPLEMENTOS,2015-01-17,68.98113207547169,12.9,0.0
159,HOGAR,2015-01-17,116.88461538461539,12.9,0.0
160,BELLEZA,2015-01-17,53.90196078431372,12.9,0.0
161,AUTO,2015-01-17,110.25,12.9,0.0
162,ALIMENTACION,2015-01-17,47.90909090909091,12.9,0.0
163,SALUD,2015-01-18,44.75,6.6,0.4
164,RESTAURACION,2015-01-18,52.82608695652174,6.6,0.4
165,OTROS,2015-01-18,67.33333333333333,6.6,0.4
166,OCIO Y TIEMPO LIBRE,2015-01-18,22.75,6.6,0.4
167,MODA Y COMPLEMENTOS,2015-01-18,35.53846153846154,6.6,0.4
168,HOGAR,2015-01-18,,6.6,0.4
169,ALIMENTACION,2015-01-18,35.0,6.6,0.4
170,TECNOLOGIA,2015-01-19,148.0909090909091,7.8,1.2
171,SALUD,2015-01-19,123.28859060402685,7.8,1.2
172,RESTAURACION,2015-01-19,39.04,7.8,1.2
173,OTROS,2015-01-19,124.21739130434783,7.8,1.2
174,OCIO Y TIEMPO LIBRE,2015-01-19,63.583333333333336,7.8,1.2
175,MODA Y COMPLEMENTOS,2015-01-19,90.20338983050847,7.8,1.2
176,HOGAR,2015-01-19,113.72,7.8,1.2
177,BELLEZA,2015-01-19,111.94029850746269,7.8,1.2
178,AUTO,2015-01-19,98.86666666666666,7.8,1.2
179,ALIMENTACION,2015-01-19,114.625,7.8,1.2
180,TECNOLOGIA,2015-01-20,103.26666666666667,11.4,3.0
181,SALUD,2015-01-20,105.6923076923077,11.4,3.0
182,RESTAURACION,2015-01-20,40.096774193548384,11.4,3.0
183,OTROS,2015-01-20,86.88461538461539,11.4,3.0
184,OCIO Y TIEMPO LIBRE,2015-01-20,54.48780487804878,11.4,3.0
185,MODA Y COMPLEMENTOS,2015-01-20,78.6923076923077,11.4,3.0
186,HOGAR,2015-01-20,118.27272727272727,11.4,3.0
187,BELLEZA,2015-01-20,59.375,11.4,3.0
188,AUTO,2015-01-20,122.8,11.4,3.0
189,ALIMENTACION,2015-01-20,148.0,11.4,3.0
190,TECNOLOGIA,2015-01-21,123.6,12.3,0.2
191,SALUD,2015-01-21,139.52985074626866,12.3,0.2
192,RESTAURACION,2015-01-21,121.78787878787878,12.3,0.2
193,OTROS,2015-01-21,87.83333333333333,12.3,0.2
194,OCIO Y TIEMPO LIBRE,2015-01-21,48.282051282051285,12.3,0.2
195,MODA Y COMPLEMENTOS,2015-01-21,77.6504854368932,12.3,0.2
196,HOGAR,2015-01-21,124.51724137931035,12.3,0.2
197,BELLEZA,2015-01-21,48.77142857142857,12.3,0.2
198,AUTO,2015-01-21,81.55555555555556,12.3,0.2
199,ALIMENTACION,2015-01-21,91.85714285714286,12.3,0.2
200,TECNOLOGIA,2015-01-22,127.32352941176471,13.0,0.0
201,SALUD,2015-01-22,136.24806201550388,13.0,0.0
202,RESTAURACION,2015-01-22,86.0952380952381,13.0,0.0
203,OTROS,2015-01-22,63.76190476190476,13.0,0.0
204,OCIO Y TIEMPO LIBRE,2015-01-22,127.76,13.0,0.0
205,MODA Y COMPLEMENTOS,2015-01-22,102.2159090909091,13.0,0.0
206,HOGAR,2015-01-22,92.27272727272727,13.0,0.0
207,BELLEZA,2015-01-22,62.729729729729726,13.0,0.0
208,AUTO,2015-01-22,158.5909090909091,13.0,0.0
209,ALIMENTACION,2015-01-22,52.111111111111114,13.0,0.0
210,TECNOLOGIA,2015-01-23,154.26190476190476,13.4,0.0
211,SALUD,2015-01-23,140.57983193277312,13.4,0.0
212,RESTAURACION,2015-01-23,53.3,13.4,0.0
213,OTROS,2015-01-23,48.36666666666667,13.4,0.0
214,OCIO Y TIEMPO LIBRE,2015-01-23,72.575,13.4,0.0
215,MODA Y COMPLEMENTOS,2015-01-23,111.83653846153847,13.4,0.0
216,HOGAR,2015-01-23,77.25,13.4,0.0
217,BELLEZA,2015-01-23,51.69620253164557,13.4,0.0
218,AUTO,2015-01-23,166.25,13.4,0.0
219,ALIMENTACION,2015-01-23,72.10526315789474,13.4,0.0
220,TECNOLOGIA,2015-01-24,135.40625,11.9,0.0
221,SALUD,2015-01-24,137.3095238095238,11.9,0.0
222,RESTAURACION,2015-01-24,46.68518518518518,11.9,0.0
223,OTROS,2015-01-24,47.523809523809526,11.9,0.0
224,OCIO Y TIEMPO LIBRE,2015-01-24,57.28260869565217,11.9,0.0
225,MODA Y COMPLEMENTOS,2015-01-24,103.08333333333333,11.9,0.0
226,HOGAR,2015-01-24,100.36363636363636,11.9,0.0
227,BELLEZA,2015-01-24,51.5,11.9,0.0
228,AUTO,2015-01-24,46.22222222222222,11.9,0.0
229,ALIMENTACION,2015-01-24,72.72222222222223,11.9,0.0
230,SALUD,2015-01-25,14.0,13.4,0.0
231,RESTAURACION,2015-01-25,49.08641975308642,13.4,0.0
232,OTROS,2015-01-25,202.0,13.4,0.0
233,OCIO Y TIEMPO LIBRE,2015-01-25,73.33333333333333,13.4,0.0
234,MODA Y COMPLEMENTOS,2015-01-25,40.666666666666664,13.4,0.0
235,HOGAR,2015-01-25,50.0,13.4,0.0
236,ALIMENTACION,2015-01-25,139.66666666666666,13.4,0.0
237,TECNOLOGIA,2015-01-26,129.51162790697674,13.4,0.0
238,SALUD,2015-01-26,136.0,13.4,0.0
239,RESTAURACION,2015-01-26,37.96,13.4,0.0
240,OTROS,2015-01-26,70.47619047619048,13.4,0.0
241,OCIO Y TIEMPO LIBRE,2015-01-26,57.65217391304348,13.4,0.0
242,MODA Y COMPLEMENTOS,2015-01-26,73.99065420560747,13.4,0.0
243,HOGAR,2015-01-26,125.86111111111111,13.4,0.0
244,BELLEZA,2015-01-26,66.60344827586206,13.4,0.0
245,AUTO,2015-01-26,177.47368421052633,13.4,0.0
246,ALIMENTACION,2015-01-26,26.2,13.4,0.0
247,TECNOLOGIA,2015-01-27,127.73333333333333,13.3,0.0
248,SALUD,2015-01-27,148.7463768115942,13.3,0.0
249,RESTAURACION,2015-01-27,58.1,13.3,0.0
250,OTROS,2015-01-27,131.83333333333334,13.3,0.0
251,OCIO Y TIEMPO LIBRE,2015-01-27,46.270270270270274,13.3,0.0
252,MODA Y COMPLEMENTOS,2015-01-27,86.26086956521739,13.3,0.0
253,HOGAR,2015-01-27,132.14705882352942,13.3,0.0
254,BELLEZA,2015-01-27,65.52083333333333,13.3,0.0
255,AUTO,2015-01-27,194.94736842105263,13.3,0.0
256,ALIMENTACION,2015-01-27,98.61538461538461,13.3,0.0
257,TECNOLOGIA,2015-01-28,102.97368421052632,13.2,0.0
258,SALUD,2015-01-28,122.66666666666667,13.2,0.0
259,RESTAURACION,2015-01-28,25.033333333333335,13.2,0.0
260,OTROS,2015-01-28,176.47619047619048,13.2,0.0
261,OCIO Y TIEMPO LIBRE,2015-01-28,88.0,13.2,0.0
262,MODA Y COMPLEMENTOS,2015-01-28,94.01282051282051,13.2,0.0
263,HOGAR,2015-01-28,78.92857142857143,13.2,0.0
264,BELLEZA,2015-01-28,67.85333333333334,13.2,0.0
265,AUTO,2015-01-28,187.84615384615384,13.2,0.0
266,ALIMENTACION,2015-01-28,28.833333333333332,13.2,0.0
267,TECNOLOGIA,2015-01-29,147.3030303030303,12.5,0.0
268,SALUD,2015-01-29,172.86666666666667,12.5,0.0
269,RESTAURACION,2015-01-29,58.351351351351354,12.5,0.0
270,OTROS,2015-01-29,61.76190476190476,12.5,0.0
271,OCIO Y TIEMPO LIBRE,2015-01-29,59.21739130434783,12.5,0.0
272,MODA Y COMPLEMENTOS,2015-01-29,104.24590163934427,12.5,0.0
273,HOGAR,2015-01-29,109.82758620689656,12.5,0.0
274,BELLEZA,2015-01-29,58.2289156626506,12.5,0.0
275,AUTO,2015-01-29,197.33333333333334,12.5,0.0
276,ALIMENTACION,2015-01-29,155.55555555555554,12.5,0.0
277,TECNOLOGIA,2015-01-30,132.17021276595744,11.2,0.0
278,SALUD,2015-01-30,95.73913043478261,11.2,0.0
279,RESTAURACION,2015-01-30,87.35,11.2,0.0
280,OTROS,2015-01-30,73.0,11.2,0.0
281,OCIO Y TIEMPO LIBRE,2015-01-30,54.611111111111114,11.2,0.0
282,MODA Y COMPLEMENTOS,2015-01-30,63.67272727272727,11.2,0.0
283,HOGAR,2015-01-30,108.9090909090909,11.2,0.0
284,BELLEZA,2015-01-30,47.47126436781609,11.2,0.0
285,AUTO,2015-01-30,120.85714285714286,11.2,0.0
286,ALIMENTACION,2015-01-30,177.53333333333333,11.2,0.0
287,TECNOLOGIA,2015-01-31,181.5909090909091,11.2,0.0
288,SALUD,2015-01-31,72.23809523809524,11.2,0.0
289,RESTAURACION,2015-01-31,77.8688524590164,11.2,0.0
290,OTROS,2015-01-31,76.62068965517241,11.2,0.0
291,OCIO Y TIEMPO LIBRE,2015-01-31,56.03125,11.2,0.0
292,MODA Y COMPLEMENTOS,2015-01-31,89.15384615384616,11.2,0.0
293,HOGAR,2015-01-31,161.36363636363637,11.2,0.0
294,BELLEZA,2015-01-31,64.5,11.2,0.0
295,AUTO,2015-01-31,126.6,11.2,0.0
296,ALIMENTACION,2015-01-31,110.3,11.2,0.0
297,TECNOLOGIA,2015-02-01,100.0,14.3,0.0
298,SALUD,2015-02-01,27.5,14.3,0.0
299,RESTAURACION,2015-02-01,58.958333333333336,14.3,0.0
300,OTROS,2015-02-01,43.25,14.3,0.0
301,OCIO Y TIEMPO LIBRE,2015-02-01,,14.3,0.0
302,MODA Y COMPLEMENTOS,2015-02-01,28.842105263157894,14.3,0.0
303,HOGAR,2015-02-01,71.0,14.3,0.0
304,BELLEZA,2015-02-01,15.0,14.3,0.0
305,AUTO,2015-02-01,12.0,14.3,0.0
306,ALIMENTACION,2015-02-01,,14.3,0.0
307,TECNOLOGIA,2015-02-02,153.28571428571428,14.2,0.0
308,SALUD,2015-02-02,138.90540540540542,14.2,0.0
309,RESTAURACION,2015-02-02,60.14705882352941,14.2,0.0
310,OTROS,2015-02-02,50.8,14.2,0.0
311,OCIO Y TIEMPO LIBRE,2015-02-02,69.02380952380952,14.2,0.0
312,MODA Y COMPLEMENTOS,2015-02-02,91.8581560283688,14.2,0.0
313,HOGAR,2015-02-02,87.66666666666667,14.2,0.0
314,BELLEZA,2015-02-02,66.84905660377359,14.2,0.0
315,AUTO,2015-02-02,227.04545454545453,14.2,0.0
316,ALIMENTACION,2015-02-02,54.25,14.2,0.0
317,TECNOLOGIA,2015-02-03,104.05,14.3,0.0
318,SALUD,2015-02-03,150.81879194630872,14.3,0.0
319,RESTAURACION,2015-02-03,53.24324324324324,14.3,0.0
320,OTROS,2015-02-03,51.46153846153846,14.3,0.0
321,OCIO Y TIEMPO LIBRE,2015-02-03,51.577777777777776,14.3,0.0
322,MODA Y COMPLEMENTOS,2015-02-03,94.91509433962264,14.3,0.0
323,HOGAR,2015-02-03,104.75,14.3,0.0
324,BELLEZA,2015-02-03,68.5,14.3,0.0
325,AUTO,2015-02-03,218.47826086956522,14.3,0.0
326,ALIMENTACION,2015-02-03,92.57142857142857,14.3,0.0
327,TECNOLOGIA,2015-02-04,103.62162162162163,13.1,0.0
328,SALUD,2015-02-04,132.90277777777777,13.1,0.0
329,RESTAURACION,2015-02-04,52.70967741935484,13.1,0.0
330,OTROS,2015-02-04,98.45833333333333,13.1,0.0
331,OCIO Y TIEMPO LIBRE,2015-02-04,72.85185185185185,13.1,0.0
332,MODA Y COMPLEMENTOS,2015-02-04,99.07070707070707,13.1,0.0
333,HOGAR,2015-02-04,130.05263157894737,13.1,0.0
334,BELLEZA,2015-02-04,101.16363636363636,13.1,0.0
335,AUTO,2015-02-04,201.78571428571428,13.1,0.0
336,ALIMENTACION,2015-02-04,59.333333333333336,13.1,0.0
337,TECNOLOGIA,2015-02-05,108.78846153846153,15.0,0.0
338,SALUD,2015-02-05,136.50714285714287,15.0,0.0
339,RESTAURACION,2015-02-05,46.796875,15.0,0.0
340,OTROS,2015-02-05,116.33333333333333,15.0,0.0
341,OCIO Y TIEMPO LIBRE,2015-02-05,61.44736842105263,15.0,0.0
342,MODA Y COMPLEMENTOS,2015-02-05,84.34883720930233,15.0,0.0
343,HOGAR,2015-02-05,130.30769230769232,15.0,0.0
344,BELLEZA,2015-02-05,75.7625,15.0,0.0
345,AUTO,2015-02-05,145.0,15.0,0.0
346,ALIMENTACION,2015-02-05,58.1,15.0,0.0
347,TECNOLOGIA,2015-02-06,149.9,14.9,0.0
348,SALUD,2015-02-06,144.86764705882354,14.9,0.0
349,RESTAURACION,2015-02-06,58.353846153846156,14.9,0.0
350,OTROS,2015-02-06,58.1,14.9,0.0
351,OCIO Y TIEMPO LIBRE,2015-02-06,97.54761904761905,14.9,0.0
