,SECTOR,CP_CLIENTE,total
0,ALIMENTACION,4009,12993
1,ALIMENTACION,4008,11570
2,ALIMENTACION,4006,11479
3,ALIMENTACION,4005,11357
4,ALIMENTACION,4007,10949
5,ALIMENTACION,4004,9326
6,ALIMENTACION,4002,8335
7,ALIMENTACION,4003,8295
8,ALIMENTACION,4230,8244
9,ALIMENTACION,4120,7030
10,ALIMENTACION,4001,5808
11,ALIMENTACION,4720,5590
12,ALIMENTACION,4131,5273
13,ALIMENTACION,4130,4304
14,ALIMENTACION,4240,3397
15,ALIMENTACION,4740,3020
16,ALIMENTACION,4700,2457
17,ALIMENTACION,4410,2165
18,ALIMENTACION,4110,2094
19,ALIMENTACION,4250,2058
20,ALIMENTACION,4117,2033
21,ALIMENTACION,4770,1746
22,ALIMENTACION,4140,1710
23,ALIMENTACION,4150,1622
24,ALIMENTACION,4560,1568
25,ALIMENTACION,4738,1558
26,ALIMENTACION,4400,1545
27,ALIMENTACION,4100,1523
28,ALIMENTACION,4200,1488
29,ALIMENTACION,4800,1309
30,ALIMENTACION,4860,1206
31,ALIMENTACION,4151,1197
32,ALIMENTACION,4760,1094
33,ALIMENTACION,4270,1057
34,ALIMENTACION,4867,1041
35,ALIMENTACION,4620,1023
36,ALIMENTACION,4721,1000
37,ALIMENTACION,4118,974
38,ALIMENTACION,4520,951
39,ALIMENTACION,4500,917
40,ALIMENTACION,4600,899
41,ALIMENTACION,4820,837
42,ALIMENTACION,4260,825
43,ALIMENTACION,4880,804
44,ALIMENTACION,4450,769
45,ALIMENTACION,4279,745
46,ALIMENTACION,4271,686
47,ALIMENTACION,4550,679
48,ALIMENTACION,4630,627
49,ALIMENTACION,4610,560
50,ALIMENTACION,4510,552
51,ALIMENTACION,4745,518
52,ALIMENTACION,4409,502
53,ALIMENTACION,4569,486
54,ALIMENTACION,4711,473
55,ALIMENTACION,4113,420
56,ALIMENTACION,4750,397
57,ALIMENTACION,4431,395
58,ALIMENTACION,4850,394
59,ALIMENTACION,4710,391
60,ALIMENTACION,4458,376
61,ALIMENTACION,4470,344
62,ALIMENTACION,4160,344
63,ALIMENTACION,4116,336
